<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230921;121100;95067.0000000;95083.0000000;95054.0000000;95061.0000000;783
20230921;121200;95062.0000000;95062.0000000;95022.0000000;95030.0000000;1601
20230921;121300;95030.0000000;95040.0000000;95022.0000000;95032.0000000;880
20230921;121400;95026.0000000;95035.0000000;95018.0000000;95021.0000000;600
20230921;121500;95021.0000000;95058.0000000;95020.0000000;95042.0000000;2542
20230921;121600;95043.0000000;95046.0000000;94980.0000000;94980.0000000;2236
20230921;121700;94980.0000000;94999.0000000;94970.0000000;94973.0000000;2217
20230921;121800;94974.0000000;94977.0000000;94951.0000000;94971.0000000;1495
20230921;121900;94960.0000000;94968.0000000;94943.0000000;94957.0000000;1284
20230921;122000;94958.0000000;94967.0000000;94940.0000000;94942.0000000;1012
20230921;122100;94943.0000000;94952.0000000;94917.0000000;94920.0000000;1202
20230921;122200;94917.0000000;94928.0000000;94907.0000000;94927.0000000;1277
20230921;122300;94922.0000000;94954.0000000;94916.0000000;94923.0000000;1485
20230921;122400;94923.0000000;94934.0000000;94916.0000000;94931.0000000;956
20230921;122500;94928.0000000;94956.0000000;94912.0000000;94950.0000000;1797
20230921;122600;94948.0000000;94965.0000000;94921.0000000;94947.0000000;1308
20230921;122700;94945.0000000;94968.0000000;94914.0000000;94958.0000000;1056
20230921;122800;94959.0000000;94980.0000000;94914.0000000;94975.0000000;1205
20230921;122900;94978.0000000;94986.0000000;94956.0000000;94983.0000000;1711
20230921;123000;94982.0000000;94997.0000000;94965.0000000;94974.0000000;1405
20230921;123100;94973.0000000;94980.0000000;94919.0000000;94919.0000000;1414
20230921;123200;94920.0000000;94920.0000000;94856.0000000;94861.0000000;3316
20230921;123300;94860.0000000;94863.0000000;94752.0000000;94754.0000000;6039
20230921;123400;94751.0000000;94816.0000000;94750.0000000;94806.0000000;3312
20230921;123500;94807.0000000;94860.0000000;94798.0000000;94849.0000000;1375
20230921;123600;94850.0000000;94853.0000000;94800.0000000;94831.0000000;1120
